"","Tank","Fish","Sex","Eggs","Time.For.Assay.minutes","Round","Assay","Test.animal.origin","Relative.size.counterpart","Rater","Date","Eggs.prior","Age.eggs.prior","Nips","Pec.fans","Tail.Fans","Entrances","Time","Latency","Flee","Tail.strike","Bite","Display","Quiver","Chase.Charge","Sum.Behaviors","Sum.Submissive","Parenting.per,minute","Aggressive.per.minute","Submissive.per.minute","Eggs.after","Eggs.proportion.after","Age.eggs.after","Days.prev.spawn","Days.next.spawn","Days.nearest.spawn","Parenting.per.time"
"1","A21","A21F","F","Own",5,"1","Parenting","A21",NA,"GG",2023-07-19,"838",3,9,14,2,20,42,NA,NA,NA,NA,NA,NA,NA,25,0,NA,5,0,674,"80.429594272076372",7,2,-19,NA,0.595238095238095
"2","A21","A21M","M","Own",5,"1","Parenting","A21",NA,"GG",2023-07-19,"838",3,13,37,3,17,39,NA,NA,NA,NA,NA,NA,NA,53,0,NA,10.6,0,675,"80.548926014319804",7,2,-19,NA,1.35897435897436
"3","A21","A21F","F","Own",10,"1","Crab","D3",NA,"GG",2023-07-20,NA,NA,NA,NA,NA,NA,NA,23,0,15,0,0,0,0,15,0,NA,1.5,0,NA,NA,NA,3,-18,NA,NA
"4","A21","A21M","M","Own",10,"1","Crab","D3",NA,"GG",2023-07-20,NA,NA,NA,NA,NA,NA,NA,25,0,7,1,0,0,0,8,0,NA,0.8,0,NA,NA,NA,3,-18,NA,NA
"5","A21","A21F","F","Own",10,"1","Damsel","D1",NA,"GG",2023-07-21,NA,NA,NA,NA,NA,NA,NA,18,0,10,0,22,0,8,40,0,NA,4,0,NA,NA,NA,4,-17,NA,NA
"6","A21","A21M","M","Own",10,"1","Damsel","D1",NA,"GG",2023-07-21,NA,NA,NA,NA,NA,NA,NA,46,2,5,0,24,0,12,41,2,NA,4.1,0.2,NA,NA,NA,4,-17,NA,NA
"7","A21","A21F","F","Own",2,"1","Male","Group","Smaller","GG",2023-07-22,NA,NA,NA,NA,NA,NA,NA,48,0,7,15,0,0,37,59,0,NA,29.5,0,NA,NA,NA,5,-16,NA,NA
"8","A21","A21M","M","Own",2,"1","Male","Group","Smaller","GG",2023-07-22,NA,NA,NA,NA,NA,NA,NA,65,1,5,5,0,0,16,26,1,NA,13,0.5,NA,NA,NA,5,-16,NA,NA
"9","A21","A21F","F","Own",2,"1","Female","A22","Smaller","GG",2023-07-23,NA,NA,NA,NA,NA,NA,NA,8,0,0,1,0,0,3,4,0,NA,2,0,NA,NA,NA,6,-15,NA,NA
"10","A21","A21M","M","Own",2,"1","Female","A22","Smaller","GG",2023-07-23,NA,NA,NA,NA,NA,NA,NA,90,0,0,0,0,0,1,1,0,NA,0.5,0,NA,NA,NA,6,-15,NA,NA
"11","A21","A21F","F","Own",0.166666666666667,"1","Hand","Gabe",NA,"GG",2023-07-24,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,2,0,0,3,0,NA,18,0,NA,NA,NA,7,-14,NA,NA
"12","A21","A21M","M","Own",0.166666666666667,"1","Hand","Gabe",NA,"GG",2023-07-24,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,2,0,0,2,0,NA,12,0,NA,NA,NA,7,-14,NA,NA
"13","A21","A21F","F","Own",5,"1","Rock",NA,NA,"GG",2023-07-24,NA,NA,NA,NA,NA,NA,NA,14,0,40,0,0,0,0,40,0,NA,8,0,NA,NA,NA,7,-14,NA,NA
"14","A21","A21M","M","Own",5,"1","Rock",NA,NA,"GG",2023-07-24,NA,NA,NA,NA,NA,NA,NA,24,0,3,1,0,0,0,4,0,NA,0.8,0,NA,NA,NA,7,-14,NA,NA
"15","A21","A21F","F","None",10,"1","Crab","D2",NA,"GG",2023-07-30,NA,NA,NA,NA,NA,NA,NA,215,0,1,0,0,0,0,1,0,NA,0.1,0,NA,NA,NA,13,-8,NA,NA
"16","A21","A21M","M","None",10,"1","Crab","D2",NA,"GG",2023-07-30,NA,NA,NA,NA,NA,NA,NA,600,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,13,-8,NA,NA
